x,y,theta,sensor_id,sensor_value
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
0.582500,0.547500,0.000000,6,0.095460
0.582500,0.547500,0.000000,7,0.075760
0.582500,0.547500,0.000000,8,0.068346
0.582500,0.547500,0.000000,9,0.068347
0.582500,0.547500,0.000000,10,0.075763
0.582500,0.547500,0.000000,11,0.095466
0.582500,0.547500,0.000000,12,0.100000
0.582500,0.547500,0.000000,13,0.100000
0.582500,0.547500,0.000000,14,0.100000
0.582500,0.547500,0.000000,15,0.100000
0.582500,0.547500,0.000000,16,0.100000
0.582500,0.547500,0.000000,1,0.100000
0.582500,0.547500,0.000000,2,0.100000
0.582500,0.547500,0.000000,3,0.100000
0.582500,0.547500,0.000000,4,0.100000
0.582500,0.547500,0.000000,5,0.100000
